ID,mesin,bangku,penggerak,label
1,bensin,4,depan,sedan
2,bensin,2,depan,sedan
3,bensin,8,belakang,minibus
4,diesel,6,depan,minibus
5,bensin,5,belakang,minibus
6,diesel,8,belakang,minibus
7,diesel,8,belakang,minibus
8,bensin,4,depan,sedan
9,diesel,7,belakang,minibus
10,bensin,4,depan,sedan
11,bensin,2,depan,sedan
12,diesel,6,belakang,minibus
13,diesel,8,depan,minibus
14,bensin,4,depan,sedan
15,diesel,2,depan,sedan
16,bensin,4,depan,sedan
17,bensin,8,belakang,minibus
18,bensin,4,depan,sedan
19,diesel,8,belakang,minibus
20,diesel,8,belakang,minibus
21,bensin,4,depan,sedan
22,bensin,4,depan,minibus
23,diesel,8,belakang,minibus
24,bensin,4,depan,sedan
25,bensin,5,belakang,minibus
26,bensin,4,depan,minibus
27,diesel,8,belakang,minibus
28,bensin,4,depan,sedan
29,bensin,7,belakang,minibus
30,bensin,4,depan,sedan
31,bensin,4,depan,sedan
32,bensin,2,depan,sedan
33,bensin,8,belakang,minibus
34,diesel,6,depan,minibus
35,bensin,5,belakang,minibus
36,diesel,8,belakang,minibus
37,diesel,4,belakang,minibus
38,bensin,4,depan,sedan
39,diesel,5,belakang,minibus
40,bensin,4,depan,sedan
